candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM
10666,37.94956810664253,142.55479019582145,153.56473227893298,18.03467969730675,144.9620065938525,0.3,1.6037004,28.331924,1.6446783889948757,28.72042687771081
10792,40.23076012488576,142.92281106286168,155.88398991216005,18.120227236191717,150.39380241201556,0.3,1.6299876,28.863178,1.662225630312058,29.06167779284635
10961,36.87530261684763,142.29416353109823,158.18646149026569,19.32647047711829,135.6955740442818,0.3,1.5130328,26.917772,1.5247609278494427,26.82487432318509
11123,35.77189625439404,143.01402054956435,156.45240195219543,18.145756007076926,135.05178724426383,0.3,1.5419072,26.894085,1.5474134500012382,26.992618985095238
11315,37.2232892758528,142.9035839494288,152.15082622065555,18.64548159570414,135.05408383603205,0.3,1.5463364,27.233484,1.5798634183133973,27.529830771332374
11731,38.77162425969745,143.01382305646936,154.39425667724313,18.038036622863046,152.47741406210866,0.3,1.6494948,29.275684,1.6988815225930076,29.597033809648362
11743,37.9045471814512,142.1163735631137,153.08428031790035,18.78254963392713,135.48577949465326,0.3,1.542776,27.246748,1.5662291959787225,27.42907974277779
12192,35.85633952536719,142.3807942175861,157.13945067052833,18.45865138884336,152.00551205660526,0.3,1.6088775,28.942432,1.6768144903182183,29.272160210397136
12241,37.229113240154476,142.73765625037197,153.298606461997,18.508601640313945,137.51667993587014,0.3,1.5618925,27.558376,1.588668045734559,27.73050014395778
12432,36.13158517540473,142.6269342041292,152.06178746931937,19.76165360625999,145.91815908482386,0.3,1.6222098,28.754066,1.6698940084671108,29.16604841866081
12445,36.629942787861566,143.12826335576815,152.036672257905,18.149762179978943,139.7045384544791,0.3,1.5874947,27.832422,1.6242529601626416,28.242343732397106
12848,35.42010041304367,141.8401693158492,152.99438271004212,19.23030202247312,140.1563248826309,0.3,1.5717365,27.926937,1.6123689679399331,28.223666247646424
12871,36.17964994906375,142.06956135184964,161.99915392499628,18.666053093657183,138.10721973955106,0.3,1.4972599,26.778095,1.5113787559740475,26.668507538593037
13533,44.095623770231384,142.19281630631087,160.53719821632427,18.02334804229266,135.38750464195635,0.3,1.4777509,26.413633,1.4847583655924783,26.26195838444426
14032,37.38711631447082,142.84185602846264,152.41790967503215,19.540657972855616,144.27548532071893,0.3,1.6022906,28.413422,1.649545657585509,28.830087555350534
14332,35.77368309921503,142.80619562094236,155.2043991518032,18.419718841362943,151.0716866250143,0.3,1.6306194,29.057903,1.6898801779315904,29.419867671524475
14361,36.501907950579046,142.40766773669932,157.39070187206653,18.017045707708174,144.67723802299273,0.3,1.5677743,28.004292,1.612243405797945,28.209202563792193
14473,35.321718236508126,142.4309283181078,152.4097485570892,18.515099370921376,136.9523136821229,0.3,1.569773,27.551992,1.5976176783016367,27.83469976639633
14630,37.12390819712917,142.8174862281648,154.89021165125135,18.35086433330808,146.83920939519535,0.3,1.610211,28.602407,1.6524333444944634,28.83644734282412
15086,36.467337209814836,142.61198713584793,152.03749007019178,18.734525990597444,135.5588842985787,0.3,1.5552607,27.393793,1.585769716506415,27.64456152216032
15640,35.35821932632156,142.44700923591807,156.34735622705256,18.41218502076137,154.06050704425425,0.3,1.647949,29.17813,1.703850590500064,29.67429632649633
15808,35.5468438506226,143.02342507016712,160.5736778756776,18.436064926417583,154.92074749399052,0.3,1.5924443,28.832886,1.674360399977329,29.173328536430187
16004,36.01751251320878,142.66489875104782,161.68861369677995,19.262377874316048,138.05050712553685,0.3,1.5066599,26.769876,1.5165761045728887,26.720604728699275
16714,36.10670031040384,142.073973973327,152.4020362163265,18.653564735982894,141.52852218916786,0.3,1.5871003,28.105814,1.629509744783614,28.470907422901508
16734,38.902630841859356,142.78566582517013,152.45758899760963,18.474470238166866,142.86245059195437,0.3,1.5945345,28.106705,1.6335121123934946,28.543486357553565
17393,35.28411752505456,142.72481743127605,159.33988759392446,19.18868049040057,149.1454729893421,0.3,1.585706,28.520636,1.6342397063000567,28.602575939754022
17669,41.64546268840413,142.43563160878495,161.27958572228465,19.96439168993759,135.2582204924706,0.3,1.4815972,26.473606,1.4792227859158964,26.241482627967518
18587,35.4180417736382,142.9784736087029,154.81224907703026,18.179949474315023,154.68467659980035,0.3,1.6572986,29.38085,1.7269234407327274,29.965840397410577
19233,43.8608755307097,140.11477557024406,161.99029184754352,19.031568567584237,135.38150809613586,0.3,1.4612097,26.315737,1.4581540164919038,26.08114886260118
19475,43.60344972997224,143.05753779112254,160.6737264388396,18.465899241579407,135.54184734164704,0.3,1.4805963,26.544613,1.4900159237955548,26.295805283275396
19961,36.776516528421375,141.61054439664377,156.7403336684718,18.012184182285917,135.40934221752497,0.3,1.5177432,26.951849,1.5347854901777556,26.94725113523882
20136,35.06055606116331,142.1493390427889,155.7911046884381,18.393004422283912,136.18146919363258,0.3,1.5533587,27.199196,1.5584933095691729,27.255827833265446
20178,38.015184091015335,142.737283634049,152.337015177881,18.387051867112948,152.6579487093486,0.3,1.6701117,29.471302,1.7190313999994435,29.944511176488664
20340,38.83041059273311,142.86611481301887,152.50195820300158,18.210781315784878,152.8444652498316,0.3,1.6689696,29.583645,1.7167020462186233,29.906374859483744
21178,35.1804507839428,142.87191602743553,152.6823690931555,19.784661182114288,138.48325529926487,0.3,1.5721495,27.785763,1.6085100170037165,28.05918915685891
21276,35.860894342138415,142.72588520214012,155.35229365803494,18.074544444833634,154.00672785909398,0.3,1.6610395,29.343098,1.7132214971404798,29.783567001478378
21791,39.929999780017084,142.2355502996113,161.73078207766065,18.249883448707063,135.7638586600743,0.3,1.4732844,26.494627,1.4877070954960074,26.282807542443212
21794,39.259321983513246,142.31045278478652,156.82426443068806,18.546210418058134,135.62562588775987,0.3,1.5029064,27.010523,1.5312360573568244,26.911836558479454
22274,37.17308399235731,142.01838872485902,153.47407196898868,18.18442936493826,153.16589221522594,0.3,1.6524111,29.456234,1.7132404060485897,29.89394215633953
22502,35.87830171982813,142.37601837206125,153.42558293021452,18.68603001094141,139.38162885398017,0.3,1.5609882,27.741951,1.605181800075886,28.03151451159449
22799,39.024342551548834,143.12535750477153,155.7540073019235,18.260411191542754,153.3489440678209,0.3,1.650009,29.05814,1.6932074620784108,29.517629443914092
22816,36.81779860561787,142.697825690951,152.98717544489057,18.79130421174061,154.29856934671932,0.3,1.6669432,29.606585,1.7309245383665877,30.130883036609763
22940,35.01418779336845,141.16370318914687,152.44919751571567,18.104181962802087,142.46355359092266,0.3,1.5917304,28.199617,1.636497194254798,28.622481092511006
23077,44.57603728972943,138.74197550747607,161.8614420694521,18.53488758880617,135.23542871987706,0.3,1.4677745,26.277115,1.4506406164761687,26.043681465954112
23092,35.593906104732035,143.1358406176119,158.33191239586864,18.881833288002575,143.49864865703302,0.3,1.5482966,27.570234,1.5990817924736889,27.957949468581145
23431,35.719857943856006,142.65808204178623,154.855005689266,19.59959625267576,146.74730234467933,0.3,1.6100316,28.706396,1.6532019011598278,28.90003019612377
23873,37.0680426451422,143.1141391332084,157.53975678393385,19.34488770262727,147.5645530923097,0.3,1.5952142,28.376133,1.6336464607434316,28.586068838309405
24111,35.16096111593682,142.82536629450456,156.09362265305742,18.341903803518225,137.63693175052472,0.3,1.5669729,27.37326,1.5723687199971668,27.435883165494577
24275,42.131965843748894,142.19336439886388,157.52008207659907,18.75161875519114,135.40644406903573,0.3,1.4986658,26.79576,1.5129397608729414,26.698074960897063
24588,35.288062101492564,142.6210776719748,152.1474484572145,18.83607550900142,153.6864144950833,0.3,1.6624656,29.648493,1.7398487300829228,30.23651289797043
24922,40.92214789200693,142.89767441919938,152.4551653799524,18.08909761709431,138.28144396065113,0.3,1.5685759,27.606482,1.589629271483827,27.800196982992336
25465,37.9473018022941,142.17549734276162,161.4029462555978,19.289591599849924,135.6974190441219,0.3,1.4879463,26.579634,1.491458192367955,26.370474996004152
25558,36.48180599910522,142.7389991583736,155.14508255471367,18.286671201693856,153.87306474108107,0.3,1.649787,29.351625,1.710952310872583,29.77463476688799
