candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM
43,38.12366641382041,139.3342472387049,155.33897108468614,30.14808557350784,136.22888268590887,0.3,1.4953088,27.358452,1.5069514208482242,27.496888866662925
44,43.32259801395201,138.620792149157,152.1813423599207,21.7276705315198,146.7127269029599,0.3,1.5811486,28.672691,1.6157432236748246,28.995676410557298
45,43.04764357496802,143.04488180857976,159.63277669268277,30.56639834589633,135.84527842785104,0.3,1.4629772,26.754232,1.4692420979560943,26.711327173013107
46,38.87478379030175,138.7889144789432,153.32538400556442,26.410700914340858,147.79010187375653,0.3,1.5778042,28.910713,1.6228077865845316,29.31548208863396
47,37.88328103930244,142.98596362158713,156.77776155247543,18.621289081225473,141.88220258182176,0.3,1.5487843,27.71975,1.5919626985796032,27.86821884848138
48,41.82495503974975,138.7135608622154,160.32995553234053,23.13840659603735,145.06581153196584,0.3,1.5174392,27.67931,1.537175398293186,27.79420691395247
49,36.3975248360931,142.46115172061556,161.2499500162723,21.666033580967387,153.33967297629874,0.3,1.5887877,28.79819,1.6392972382862316,28.89598836889734
50,36.99908202475108,141.02315087388905,154.46008576298803,34.456023881127024,149.87117825596857,0.3,1.58742,29.368765,1.635341574783324,29.808509938078867
51,35.073622697510054,142.30862829301535,160.38165530760202,27.950446942667703,142.19689006679855,0.3,1.5164709,27.542063,1.5428368265476626,27.694472197590105
52,42.86924377502138,141.32016979116173,159.76108246459404,21.601256907159254,153.03091926806653,0.3,1.5669552,28.653622,1.6226943569323642,28.862561664010048
53,41.648508565920324,141.99418583552554,161.23565988494477,29.37886510486095,144.64497689130752,0.3,1.501605,27.570637,1.5268737616153492,27.735943028857417
54,42.05165378626335,141.80405800232123,160.1515263700166,26.72448360071641,142.61422855560605,0.3,1.501178,27.335077,1.5243336404486376,27.52042960749944
55,42.80729031021968,139.45093488444613,152.8949517024112,26.5504857098487,153.80299944400736,0.3,1.6241009,29.628185,1.6619811581206738,30.018493313204
56,39.5891577553834,142.82524146251856,161.44383955984782,22.028474256757022,135.41600550758082,0.3,1.4781663,26.559902,1.4810977266720355,26.330951257305014
57,40.68741195952894,141.36823052112328,152.2470521535042,30.782866181506698,145.99547511136262,0.3,1.574507,28.700352,1.6146531600594658,29.253808682505184
58,36.397969981276574,139.1604205928765,155.43556080817686,34.40593022043022,153.72529971327415,0.3,1.5963004,29.60682,1.6501218823370642,30.244914214982874
59,36.14530073535973,139.6802101514367,155.8923518693442,27.701076829230185,153.6970577299078,0.3,1.6086878,29.363914,1.6626991250396017,29.914278915861193
60,41.68402961790471,140.81525503592758,156.8526485846818,20.97554464213587,138.11836103541077,0.3,1.5230864,27.247564,1.52705132726271,27.206433560720466
61,39.710962061431324,142.55913367247078,154.35229186032527,23.232477429463618,151.38178414637446,0.3,1.6243069,29.1653,1.6689850485538833,29.508310641290652
62,40.652361064811885,142.13376559998022,153.2379741336204,24.278654331555394,142.47530632147013,0.3,1.567855,28.064518,1.5968448258388364,28.420237152631007
63,42.649988574160254,139.66024003355,160.3704749091391,35.66290566019046,150.40422577178796,0.3,1.533888,28.66458,1.550437044229802,28.83794790886444
64,41.34718320000591,141.5924315613704,158.41819549719335,30.476791382548086,135.09523642088868,0.3,1.4758152,26.883665,1.4712131284134418,26.814473884210006
65,40.535794006579955,138.15828415037788,156.7489311031109,36.53216618955041,135.49774868331616,0.3,1.471753,27.302359,1.4597768233357833,27.355386351686935
66,40.59207160745414,139.81320523745475,159.74603412696865,24.438905723344448,139.16863407519628,0.3,1.4842455,27.029966,1.498798289670003,27.08195402451071
67,38.03950098062612,142.34797612083412,161.15157092715978,35.45837104402327,146.52316206454415,0.3,1.5211811,28.275969,1.544978645219607,28.342238740238447
68,35.308178345679394,138.9060059895291,154.23926572056726,33.833372988654105,153.81413620832464,0.3,1.6206445,29.771646,1.6672108347802324,30.470203077977803
69,39.36717389232362,139.91697631910782,155.2291041129433,36.97797472130213,151.27253219076312,0.3,1.5720537,29.36372,1.6172453562734725,29.902352202893017
70,37.145846728195295,138.1552165853543,161.34322099503322,22.835559380988258,138.54053427822646,0.3,1.482518,27.030779,1.4827846254992934,26.82992155771483
