candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM
22162,36.26467759725222,142.87206541458073,153.02363709818107,23.314562600909433,153.5066468384093,0.3,1.671108,29.655235,1.7160486473044605,30.135182771972847
22356,41.71699579277995,140.22725512534234,161.42896123743034,19.368152506629098,135.15175305494927,0.3,1.4793315,26.452383,1.4651912317799236,26.17298897783812
22799,39.024342551548834,143.12535750477153,155.7540073019235,18.260411191542754,153.3489440678209,0.3,1.650009,29.05814,1.6932074620784108,29.517629443914092
23077,44.57603728972943,138.74197550747607,161.8614420694521,18.53488758880617,135.23542871987706,0.3,1.4677745,26.277115,1.4506406164761687,26.043681465954112
24111,35.16096111593682,142.82536629450456,156.09362265305742,18.341903803518225,137.63693175052472,0.3,1.5669729,27.37326,1.5723687199971668,27.435883165494577
24775,36.530192093912724,143.10406315010258,155.56529172989747,23.202933529727424,141.37775545065628,0.3,1.585119,27.806644,1.5932011841524272,28.096787136456218
25207,43.14115229414138,143.08735531463964,153.40000433538907,18.43595419548125,146.34058466533287,0.3,1.6211567,28.410463,1.6378359762414072,28.715843712458042
25215,35.12629620994715,141.64030453899767,155.4984508896752,18.845313184432015,135.10143065409812,0.3,1.5474333,27.082312,1.5472580587253093,27.13133769848176
25512,41.84574726917969,141.78074228500853,156.3453847070175,18.589381326169903,143.04635275512402,0.3,1.5784006,27.692038,1.5839819526155652,27.941888060192813
25851,37.88476614357324,143.09085310721076,153.34456730352073,19.88730077300091,136.8507970846562,0.3,1.5690423,27.390945,1.5792404151883082,27.632663886811958
26469,41.66670201808833,143.08758271810365,153.43438133063003,18.514349005733273,146.68385215492933,0.3,1.6259199,28.61069,1.6463619863146932,28.8260949321317
26569,37.223946759759336,138.35454480409228,161.9326758046624,18.110675472277165,137.1024755436843,0.3,1.4981863,26.664179,1.4793185255727361,26.46375943740725
27497,41.669895195905,142.6828099450024,152.12046595328727,18.351702356739864,141.31979951595838,0.3,1.5903381,27.897814,1.6117349390841746,28.246025274140965
28765,36.045638217968346,142.23526510400114,155.66182326667195,18.176741322777005,143.32635004571333,0.3,1.5890976,27.876265,1.6169387147558214,28.272786287585465
29905,35.1654741351836,143.13432614400836,155.41640307143228,20.315099812461977,139.5715812362105,0.3,1.5749344,27.644833,1.5921443638516983,27.84796496486908
