candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,Physical_Pareto,XGB_Pareto,RSM_Pareto,Physical_WinWin,XGB_WinWin,RSM_WinWin
5217,37.308049161214775,142.45434965163543,153.5955835194122,18.83004005235023,139.28062371195125,0.3,1.5609928,27.665993,1.597347294184646,27.944421496954458,1.579911684946839,27.782900431367903,True,False,True,True,True,True
6499,35.14573136197099,142.85532997063896,157.4554481605347,21.028009156395335,135.49447157842084,0.3,1.5296202,27.0279,1.535307686297004,26.984269894459903,1.5273896044329822,26.96988219046344,True,False,True,False,False,False
6569,35.57074415053156,142.89111506337667,156.64869252889832,18.84179007368609,146.9231885832395,0.3,1.579214,28.457106,1.6419828246058081,28.66500062529642,1.613858854770346,28.375382762618862,True,False,True,False,False,False
7194,35.78884309869045,141.64574452870878,152.0192702040085,19.03028279583133,139.97926027745493,0.3,1.5697292,27.950573,1.6176122335966983,28.313397617895202,1.5984560474894287,28.11721477175888,True,False,False,True,True,False
8322,35.03737603071065,142.90107374040895,152.20143803168074,18.78046140689942,143.77559019307307,0.3,1.6018845,28.501455,1.6599383056206531,28.872202690692998,1.6335648381832168,28.593631253705848,True,False,True,False,False,False
8358,36.184390343601535,142.3896726712184,156.67040048366783,18.368938109725885,150.72423168807222,0.3,1.6026173,28.853865,1.6694742656431716,29.15355418037338,1.6374602171669115,28.804882103953915,True,False,True,False,False,False
8490,35.597051242275775,143.0084326078864,153.99400439188167,18.143555636819347,137.49658200653283,0.3,1.5606991,27.533926,1.5912711692680723,27.690455467303313,1.5757232882063008,27.56484243241258,True,False,True,True,True,True
8529,39.511861384830226,142.78337638526108,152.40945422538286,19.062251812157587,135.52724844855982,0.3,1.5471878,27.344318,1.570124714280932,27.478091142632014,1.5597520776033489,27.41199097925643,True,False,True,True,False,True
8726,35.72006406211965,143.09004301927303,153.2987539106514,19.024117471292328,150.83566279289704,0.3,1.6537323,29.218075,1.7059320083393699,29.66957347810995,1.6735319229343184,29.31278674964981,True,True,True,False,False,False
9544,35.73480994302412,142.8870637541959,154.62468157167754,19.010075933768913,149.88524071105343,0.3,1.6245447,29.062422,1.6844186436119997,29.351912188071186,1.652613728662382,29.004446856878186,True,False,True,False,False,False
10390,35.28637320543787,142.9128267167771,156.8436345267881,18.54300879017379,136.61926786507414,0.3,1.5266198,27.128002,1.556512729327924,27.18606915843016,1.5462168619113168,27.140795058913298,True,False,True,False,False,False
10464,35.237942846599495,142.7990564205194,157.84816655305326,18.750172830028685,153.41048321683164,0.3,1.6076694,29.052162,1.68596840714055,29.37883505617941,1.6504375174983852,28.99348807009864,True,False,False,False,False,False
10641,38.26165929457369,142.50779435202813,153.74974676309787,19.134906601759695,137.04016307328322,0.3,1.5553364,27.369394,1.5734457880453543,27.568344998548444,1.5605474442889724,27.469884867074697,True,False,True,True,False,True
11247,37.56129554411221,142.75703565950917,158.5649098660954,18.1602582489862,153.97242322942554,0.3,1.6152232,28.901976,1.6773272836327382,29.270186984484948,1.6416181471738431,28.883464965203785,True,False,False,False,False,False
12663,36.51202488438278,142.92441620834683,154.1547891088721,18.285325512200945,149.83553510047886,0.3,1.6351908,29.091263,1.6873049980149881,29.370388565880294,1.6561930445900002,29.031957319382506,True,False,True,False,False,False
12989,37.93722131406149,142.18725642024697,160.89626409028804,19.044901378909312,135.10337149173972,0.3,1.4885218,26.464268,1.491978288920495,26.34791966404929,1.4943910045449842,26.48665596826824,True,False,True,False,False,False
13735,36.93193355205627,141.66742509092833,161.78968006172192,20.886839276268688,135.43811804678836,0.3,1.4851009,26.596605,1.4804023488692044,26.317778157682913,1.4847427397098591,26.47419992616649,True,False,True,False,False,False
13830,35.72105620022235,142.8496800747807,156.63768173355703,18.476168890777764,139.41447178489312,0.3,1.5396609,27.505428,1.5798526965141262,27.60272804461241,1.5636391923692152,27.47562019043765,True,False,True,True,False,True
13922,43.46599605555494,141.4012659681285,161.19166851765078,18.450742813964244,135.37191773861758,0.3,1.4694451,26.404507,1.4747816099079474,26.19338754672589,1.4751901422839362,26.34697704763267,True,True,False,False,False,False
14349,39.21373849310925,141.7960630712576,161.87538572014978,18.871743417133576,135.15255598120254,0.3,1.4687402,26.455456,1.4783510066215446,26.191477085747824,1.4827924960913,26.365737647929638,True,False,True,False,False,False
14370,38.27808667271445,142.16945382769467,152.44699787207963,18.05191575587721,136.47660919982428,0.3,1.5566128,27.429853,1.5808303812815927,27.634688406391096,1.5693650242557882,27.551967452748826,True,False,True,True,False,True
15290,35.05039483234779,142.8526252943993,152.44600386116872,19.093302197065174,141.24696689128015,0.3,1.5941789,28.186428,1.6355638546274385,28.482323201870887,1.6121641916867175,28.242797309886885,True,False,True,False,False,False
15786,35.47010664249985,142.79421706164533,153.1041333571196,20.179255382294283,151.74425595685537,0.3,1.6578543,29.506598,1.7115667507360155,29.853076810229165,1.6782575775154656,29.476563039411623,True,False,True,False,False,False
15904,37.69769611273967,143.10287948119083,158.92424340764487,19.28830627420774,136.76218332870343,0.3,1.5078024,26.85603,1.5299309907161462,26.871351559596324,1.5226077996022909,26.87550604901443,True,False,False,False,False,False
16159,38.36243554338184,142.84534641206986,152.64916108192608,18.43408283831014,148.09919947198526,0.3,1.6236634,28.972849,1.677625420265962,29.26871570392993,1.6498401653190262,28.96513893467006,True,False,False,False,False,False
16522,37.508679796285364,142.626937025103,152.83821770849076,18.06073694942757,146.16680811361968,0.3,1.6211947,28.635328,1.6633202064521617,29.00597942380519,1.6368740886673898,28.722118083327707,True,True,True,False,False,False
16586,42.729861783342585,142.84903763150598,161.19735299864504,20.706564929178008,135.11228783627848,0.3,1.4796405,26.453451,1.4762009843483543,26.213545127731653,1.4765493354016626,26.35757081878624,True,False,False,False,False,False
17153,35.0371497795026,142.96855342568279,153.05059911929303,20.949452811016215,146.56877587238387,0.3,1.6096592,29.110981,1.6703150425296571,29.186495937623523,1.6400410301608055,28.852925565673633,True,False,True,False,False,False
17684,35.90744488077638,143.08073832293286,153.56492247534942,18.160492135495964,153.69593720335382,0.3,1.6465504,29.33703,1.7287278749531856,29.993164309343808,1.6941888154777784,29.612050869585836,True,False,True,False,False,False
17840,35.97971326637604,142.5258519777102,154.2745030687311,18.52459556692812,154.32266811617217,0.3,1.6573231,29.379963,1.7228087048450456,29.983031047128083,1.6874191165678933,29.582676723115963,True,False,True,False,False,False
18230,36.6916790834486,143.06985052266737,153.38774633343442,18.665389654550626,139.62253123566694,0.3,1.5589689,27.711397,1.6092163629476262,28.050917889828217,1.5897960687213235,27.867617889609726,True,False,True,True,True,True
18358,35.57917146133166,142.18515859228947,156.15782755554818,18.33270351121541,150.50423809134566,0.3,1.6173835,28.89052,1.6734597037582786,29.216988053780756,1.641515431853409,28.86640219190792,True,False,True,False,False,False
19368,37.340281983111176,142.9642213418045,154.30670315672575,18.45931995377044,140.5356404495023,0.3,1.5712303,27.78214,1.6055522550447194,28.027507844105674,1.585813969009676,27.843014836474527,True,False,True,True,True,True
19573,37.04945706581242,142.89405913053773,159.63651230827728,18.46069137005683,135.18085421055588,0.3,1.488474,26.638271,1.5130925048523007,26.552124020262912,1.5116445392921491,26.6378911756895,True,False,True,False,False,False
20914,35.01979628365929,143.0763502711467,159.42133364173893,18.53009693452103,138.00795896970297,0.3,1.5090094,26.994383,1.545438947595819,27.042945821936133,1.5360026921190548,27.02039902842231,True,False,True,False,False,False
21247,38.471681490569374,142.9917946449193,161.74671318446318,19.47065604783882,136.62384517110425,0.3,1.4865487,26.606495,1.499558918314733,26.46111989999874,1.4979682606021483,26.556040534919585,True,False,False,False,False,False
21403,35.846030865030464,142.230432010065,153.43481137488268,18.748132836884643,152.56847702034653,0.3,1.643849,29.340643,1.7139758817341173,29.87953896581738,1.6807273867427326,29.500991092255685,True,False,True,False,False,False
21475,36.467351909648684,142.990255182758,154.3214362867533,18.5626666619084,149.06938286823976,0.3,1.6116464,28.937572,1.6792650559465523,29.248656367894316,1.6487095703307324,28.91796018656137,True,False,True,False,False,False
21762,36.533348982833054,142.5915186708256,153.09287888032983,18.492394262422145,151.50878392527673,0.3,1.6502844,29.37615,1.7081568533979925,29.750206984801846,1.6763503289718211,29.393728651580382,True,False,True,False,False,False
21787,35.918565352390374,142.3726798599174,155.34793525032035,18.216873136165606,138.28268894961542,0.3,1.5649154,27.47553,1.579185382272151,27.59874793592125,1.5647428344769363,27.487312396833687,True,True,True,True,True,True
21804,37.17748900990698,142.56445623932416,152.14278664251603,18.273412829403405,149.3471652219789,0.3,1.6419606,29.220083,1.6963350292255828,29.55870117399491,1.6673472913986809,29.236432390136613,True,False,False,False,False,False
22046,36.633520843801016,142.83950602495335,160.3034032547174,19.001599093539483,135.07279829239206,0.3,1.4971923,26.58731,1.5052634850090647,26.463678091318403,1.5054920214179062,26.572283225751608,True,True,True,False,False,False
22389,35.10994920213447,142.2065571324228,152.76348894818432,18.573919721393217,136.7816240281075,0.3,1.5605124,27.511164,1.5919336263551673,27.764918841841453,1.5777278930139655,27.646478858591834,True,False,True,True,True,True
22428,37.67499247432842,142.8800535247395,152.70171169958516,18.467879168791463,145.9200946502322,0.3,1.6098592,28.582592,1.6623288165042376,28.990461288435913,1.6359573650782089,28.707391302824337,True,False,True,False,False,False
22815,39.2317228488437,142.99757553572312,155.00118488215062,18.122097414896576,149.91467623729613,0.3,1.6325363,28.977196,1.6702316566753521,29.154881077587735,1.6399863809087387,28.831291949244598,True,False,True,False,False,False
23298,37.54828449922164,142.64751409180155,154.42067166881026,18.646574211814958,141.74596489207872,0.3,1.571423,27.99466,1.6110313555015252,28.176102130604566,1.589986889103601,27.97051690629103,True,False,True,True,True,False
23892,39.41491840046731,143.12137734315468,156.73810907399945,18.198032026302492,136.14567541287894,0.3,1.5108709,27.017511,1.542214381838424,27.002754039652476,1.53361442047966,26.98780719049659,True,False,True,False,False,False
23932,35.51717410378794,142.85017173484027,159.86349666991367,18.916991107724193,154.28058980147318,0.3,1.6047915,28.893652,1.6732668242826154,29.199024590523134,1.6374890799944835,28.816942981501477,True,False,True,False,False,False
24073,36.72492111150942,142.81233974282793,153.62091498645373,18.91791129576454,144.0179483621394,0.3,1.5936285,28.307428,1.6407008047337728,28.643238051127046,1.6156091776496333,28.380198917673273,True,False,True,False,False,False
24251,36.06829019785315,142.9111601653163,152.98537462961556,18.354142753700422,153.72103160237256,0.3,1.6657348,29.507013,1.7319620211502804,30.07707319032242,1.69806743343619,29.698995608070927,True,True,True,False,False,False
24970,35.11573663098641,143.01519092028937,159.0259909035257,18.594767817353755,151.22921715942826,0.3,1.5911597,28.719683,1.6587381841659838,28.922203559483425,1.6263961193675995,28.58794072056628,True,False,False,False,False,False
25047,37.354457648573046,141.86961605326897,154.4723809382307,18.78250365958032,136.415496690748,0.3,1.5472107,27.328405,1.5616730188599597,27.396652846876318,1.5515251740545661,27.33507276307991,True,False,False,False,False,True
25503,44.76256324267759,141.47528705792465,161.50530082710597,20.749628372669775,135.43418015641598,0.3,1.4702736,26.406061,1.4625182504927725,26.147632565769715,1.4631111360933011,26.311185439820207,True,True,True,False,False,False
