candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,Physical_Pareto,XGB_Pareto,RSM_Pareto,Distance_to_Physical_Pareto
6423,42.82857716645425,142.93445891012547,158.59941184655858,28.81239860782868,154.5863767505208,0.3,1.588008,29.000402,1.6318766073134996,29.326903966625924,1.6009920363384498,28.989531559859927,False,False,False,0.11988109163222838
6424,35.80147209870542,139.44672423540746,152.27371637992576,35.27602234876108,152.6402363985881,0.3,1.635767,30.029034,1.6748998686857233,30.646967862600928,1.6374074129236769,30.146089583977258,False,False,False,0.20346567865248172
6425,35.22518841995247,139.4789457656642,158.89290841119967,32.74479799088695,144.59149432761063,0.3,1.5136905,27.972744,1.5495236320167751,28.417306738598693,1.5255147636222255,28.123437880541957,False,False,False,0.1931961004137327
6426,36.144526971698895,140.257727755255,155.9709637959532,30.703914746026506,142.77408700733818,0.3,1.5330409,28.026472,1.567965860394073,28.472006079609358,1.542102739980752,28.16037610058632,False,False,False,0.15483796859463658
6427,38.94996310172563,139.05871144242457,159.63874403927784,19.45542664980468,150.30653411982794,0.3,1.5631734,28.4423,1.6086312299678132,28.64986731410487,1.5791519978702626,28.302816759267923,False,False,False,0.07662053162022926
6428,39.66706610082092,142.2885932616296,152.51451832454978,19.754412443678813,139.46077029267386,0.3,1.5631746,27.787235,1.5953449841008425,28.034830617996224,1.5784043296357502,27.872734521001163,False,False,False,0.022517271284771084
6429,36.36461630213849,138.77368740071913,161.09626921809192,34.44428363818137,137.33920684653947,0.3,1.4554425,27.060465,1.4557841309797634,27.072117670795347,1.450870531045653,27.04858663874788,False,False,False,0.18129075804301026
6430,39.111531378996055,140.34644401831076,155.47582925499174,33.73458946415319,149.8419994342186,0.3,1.5753171,29.143976,1.6126662609918307,29.52963772379883,1.5821868303945152,29.133536967813285,False,False,False,0.18958893269373095
6431,39.4162278636183,142.68578005381383,155.8912526290426,20.88208982971898,145.6022720632582,0.3,1.5919329,28.392872,1.6165226181960684,28.481459882150805,1.591313603787222,28.21740163096152,False,False,False,0.04437209406331203
6432,36.090899636774864,141.32694549297128,153.71853785016015,27.59868565734956,146.9831895000433,0.3,1.5841564,28.859095,1.6374126362264558,29.28782084145213,1.6057105134289074,28.901562082791887,False,False,False,0.09635055590528684
6433,44.166599601957344,141.18582422289052,153.28934890718537,37.26085248312195,147.32932845857334,0.3,1.5574943,29.115877,1.5846600688234358,29.372348816837377,1.5613081319532085,29.077672798752445,False,False,False,0.23588374329791845
6434,40.99145927587708,143.12322111964437,152.54444217887595,34.04728296678199,149.6045367893564,0.3,1.6085507,29.553503,1.6434303894503142,29.80212311943328,1.613693623020969,29.45160165672458,False,False,False,0.15790701933336856
6435,38.88535530456282,138.2627454119868,153.07486775513965,26.90758249985189,153.16845258349178,0.3,1.620883,29.740044,1.666314564416811,30.13397046542896,1.6330207659786342,29.664823201296294,False,False,False,0.1399499852326893
6436,40.06907183472207,139.748968425526,157.5441890953813,26.455638028921125,136.13502494594184,0.3,1.4873439,27.013706,1.4893655834608128,26.992517620442104,1.4838056309177865,26.98240850298124,False,False,False,0.10688539544128486
6437,38.14197486468807,138.7750910894807,159.28692082107025,27.602172004344748,144.83291545495038,0.3,1.5226046,27.835165,1.544019925179016,28.121339999335422,1.5241111845406952,27.876661534962498,False,False,False,0.16412097894346034
6438,43.54331031644593,139.07288639485182,153.02090398528344,18.637178043740427,147.70686878656068,0.3,1.5890127,28.734852,1.6281181393313466,28.965441097160028,1.6020058681904337,28.677066351546976,False,False,False,0.0724865234208408
6439,40.75015041568504,139.2300224926375,153.290380355612,30.87092135127409,154.26441256184685,0.3,1.6159159,29.660261,1.660796620383672,30.277054858098754,1.6285364277424068,29.82596734623598,False,False,False,0.173789630939242
6440,39.94895814393544,141.28445055283652,152.90770297939883,26.63584156565028,149.31948349452225,0.3,1.6009467,29.21536,1.6478978217382263,29.519428568019524,1.6189727913816472,29.156128149078715,False,False,False,0.09948355395570929
6441,44.108854030955975,139.5105351189686,156.89095325176825,20.21209709957197,149.1332524636279,0.3,1.5799705,28.514778,1.6049226148394085,28.668992160607093,1.5755494356415771,28.348042108086496,False,False,False,0.09198452062407325
6442,43.37979698234068,141.47092254318437,154.21523939213338,18.26701034458061,141.32503284801354,0.3,1.5743829,27.731627,1.5808112145557112,27.90080923977307,1.5629015632752894,27.755259743079684,False,False,False,0.04336288656479879
6443,43.12801891425849,141.84034825267753,153.46086360549916,30.270435537729814,151.8463218700511,0.3,1.604725,29.354214,1.6426344389599388,29.72597065125577,1.6149055760383193,29.384225721443347,False,False,False,0.14499745552056184
6444,37.25609204231844,140.1595640109613,156.20673113336787,29.89072086695985,140.3842100346853,0.3,1.5200039,27.688332,1.5423115345432734,28.017900499950468,1.5219262703333,27.7835289280448,False,False,False,0.15237403539352745
6445,36.53123111468357,140.83163637198965,157.92308281381176,33.3948238836457,152.83301680868425,0.3,1.5803645,29.20796,1.6291796605353204,29.66484008822661,1.595473378146076,29.248383520813164,False,False,False,0.1715758423933408
6446,41.90096519712748,138.81046087051266,153.77843398332527,20.444219047766783,146.80704746095384,0.3,1.5848235,28.67233,1.614081766236091,28.84074100056945,1.5890475238579258,28.54549217599115,False,False,False,0.09104573206449733
