Neighborhood,candidate_A,candidate_B,BF_physical_A,BF_physical_B,Delta_physical_A,Delta_physical_B,BF_gap,Delta_gap,BF_inversion_XGB,BF_inversion_RSM,Delta_inversion_XGB,Delta_inversion_RSM,Pareto_involved
closest_1pct,19366,17669,1.4792169442283818,1.4802444658284335,26.437062156409947,26.384897675221243,0.0010275216000517062,0.052164481188704315,True,False,False,False,True
closest_1pct,19366,56,1.4792169442283818,1.4818585066397034,26.437062156409947,26.45694951638421,0.0026415624113216296,0.01988735997426261,True,False,False,False,False
closest_1pct,19366,13533,1.4792169442283818,1.4827782146825532,26.437062156409947,26.39144621686948,0.003561270454171428,0.045615939540468275,True,False,False,False,True
closest_1pct,19366,5553,1.4792169442283818,1.4833174198270551,26.437062156409947,26.46092143603572,0.0041004755986733255,0.02385927962577128,True,False,True,True,False
closest_1pct,19366,15421,1.4792169442283818,1.4861769398082918,26.437062156409947,26.483470765683094,0.0069599955799100055,0.04640860927314705,False,False,False,False,False
closest_1pct,19366,9416,1.4792169442283818,1.4863839455144836,26.437062156409947,26.42679073041928,0.007167001286101815,0.010271425990666216,True,False,True,True,False
closest_1pct,19366,19475,1.4792169442283818,1.4872190253190882,26.437062156409947,26.41064514675304,0.008002081090706437,0.026417009656906743,True,False,True,True,True
closest_1pct,19366,4081,1.4792169442283818,1.487809050800145,26.437062156409947,26.472105577865,0.008592106571763125,0.0350434214550539,True,False,False,False,False
closest_1pct,19366,9624,1.4792169442283818,1.4885237851846718,26.437062156409947,26.49445736035351,0.009306840956289975,0.0573952039435639,True,False,False,False,False
closest_1pct,19366,4476,1.4792169442283818,1.4888969254379152,26.437062156409947,26.513518173391592,0.009679981209533395,0.07645601698164484,False,False,False,False,False
closest_1pct,17669,56,1.4802444658284335,1.4818585066397034,26.384897675221243,26.45694951638421,0.0016140408112699234,0.07205184116296692,True,False,False,False,True
closest_1pct,17669,13533,1.4802444658284335,1.4827782146825532,26.384897675221243,26.39144621686948,0.0025337488541197217,0.006548541648236039,True,False,True,False,True
closest_1pct,17669,5553,1.4802444658284335,1.4833174198270551,26.384897675221243,26.46092143603572,0.0030729539986216192,0.0760237608144756,True,True,True,False,True
closest_1pct,17669,15421,1.4802444658284335,1.4861769398082918,26.384897675221243,26.483470765683094,0.005932473979858299,0.09857309046185136,False,False,False,False,True
closest_1pct,17669,9416,1.4802444658284335,1.4863839455144836,26.384897675221243,26.42679073041928,0.006139479686050109,0.0418930551980381,True,False,False,False,True
closest_1pct,17669,19475,1.4802444658284335,1.4872190253190882,26.384897675221243,26.41064514675304,0.00697455949065473,0.025747471531797572,True,False,False,False,True
closest_1pct,17669,4081,1.4802444658284335,1.487809050800145,26.384897675221243,26.472105577865,0.007564584971711419,0.08720790264375822,False,False,False,False,True
closest_1pct,17669,9624,1.4802444658284335,1.4885237851846718,26.384897675221243,26.49445736035351,0.008279319356238268,0.10955968513226821,True,False,False,False,True
closest_1pct,17669,4476,1.4802444658284335,1.4888969254379152,26.384897675221243,26.513518173391592,0.008652459609481689,0.12862049817034915,False,False,False,False,True
closest_1pct,17669,21791,1.4802444658284335,1.488950296394722,26.384897675221243,26.4222997696186,0.008705830566288597,0.037402094397357644,True,False,False,False,True
closest_1pct,56,13533,1.4818585066397034,1.4827782146825532,26.45694951638421,26.39144621686948,0.0009197080428497983,0.06550329951473088,True,False,False,False,True
closest_1pct,56,5553,1.4818585066397034,1.4833174198270551,26.45694951638421,26.46092143603572,0.0014589131873516958,0.003971919651508671,False,True,True,True,False
closest_1pct,56,15421,1.4818585066397034,1.4861769398082918,26.45694951638421,26.483470765683094,0.004318433168588376,0.02652124929888444,False,True,False,True,False
closest_1pct,56,9416,1.4818585066397034,1.4863839455144836,26.45694951638421,26.42679073041928,0.0045254388747801855,0.030158785964928825,False,False,False,False,False
closest_1pct,56,19475,1.4818585066397034,1.4872190253190882,26.45694951638421,26.41064514675304,0.005360518679384807,0.04630436963116935,False,False,False,False,True
closest_1pct,56,4081,1.4818585066397034,1.487809050800145,26.45694951638421,26.472105577865,0.0059505441604414955,0.015156061480791294,False,False,False,False,False
closest_1pct,56,9624,1.4818585066397034,1.4885237851846718,26.45694951638421,26.49445736035351,0.006665278544968345,0.03750784396930129,True,False,False,False,False
closest_1pct,56,4476,1.4818585066397034,1.4888969254379152,26.45694951638421,26.513518173391592,0.007038418798211765,0.05656865700738223,False,False,False,False,False
closest_1pct,56,21791,1.4818585066397034,1.488950296394722,26.45694951638421,26.4222997696186,0.007091789755018674,0.03464974676560928,True,False,False,False,True
closest_1pct,56,4047,1.4818585066397034,1.490532109454632,26.45694951638421,26.55605577949433,0.008673602814928572,0.09910626311011939,True,False,False,False,False
closest_1pct,13533,5553,1.4827782146825532,1.4833174198270551,26.39144621686948,26.46092143603572,0.0005392051445018975,0.06947521916623955,False,True,False,True,True
closest_1pct,13533,15421,1.4827782146825532,1.4861769398082918,26.39144621686948,26.483470765683094,0.0033987251257385775,0.09202454881361533,False,True,False,False,True
closest_1pct,13533,9416,1.4827782146825532,1.4863839455144836,26.39144621686948,26.42679073041928,0.003605730831930387,0.03534451354980206,False,True,False,False,True
closest_1pct,13533,19475,1.4827782146825532,1.4872190253190882,26.39144621686948,26.41064514675304,0.004440810636535009,0.019198929883561533,False,False,False,False,True
closest_1pct,13533,4081,1.4827782146825532,1.487809050800145,26.39144621686948,26.472105577865,0.005030836117591697,0.08065936099552218,False,False,False,False,True
closest_1pct,13533,9624,1.4827782146825532,1.4885237851846718,26.39144621686948,26.49445736035351,0.005745570502118547,0.10301114348403217,True,False,False,False,True
closest_1pct,13533,4476,1.4827782146825532,1.4888969254379152,26.39144621686948,26.513518173391592,0.006118710755361967,0.12207195652211311,False,False,False,False,True
closest_1pct,13533,21791,1.4827782146825532,1.488950296394722,26.39144621686948,26.4222997696186,0.006172081712168875,0.030853552749121604,True,False,False,False,True
closest_1pct,13533,4047,1.4827782146825532,1.490532109454632,26.39144621686948,26.55605577949433,0.007753894772078773,0.16460956262485027,True,False,False,False,True
closest_1pct,13533,11869,1.4827782146825532,1.4907841471946293,26.39144621686948,26.530308004265297,0.008005932512076042,0.13886178739581823,False,False,False,False,True
closest_1pct,5553,15421,1.4833174198270551,1.4861769398082918,26.46092143603572,26.483470765683094,0.00285951998123668,0.02254932964737577,False,False,False,False,False
closest_1pct,5553,9416,1.4833174198270551,1.4863839455144836,26.46092143603572,26.42679073041928,0.0030665256874284896,0.034130705616437496,False,False,True,True,False
closest_1pct,5553,19475,1.4833174198270551,1.4872190253190882,26.46092143603572,26.41064514675304,0.003901605492033111,0.05027628928267802,False,False,True,True,True
closest_1pct,5553,4081,1.4833174198270551,1.487809050800145,26.46092143603572,26.472105577865,0.0044916309730898,0.011184141829282623,False,False,False,False,False
closest_1pct,5553,9624,1.4833174198270551,1.4885237851846718,26.46092143603572,26.49445736035351,0.005206365357616649,0.03353592431779262,True,False,False,False,False
closest_1pct,5553,4476,1.4833174198270551,1.4888969254379152,26.46092143603572,26.513518173391592,0.005579505610860069,0.05259673735587356,False,False,False,False,False
closest_1pct,5553,21791,1.4833174198270551,1.488950296394722,26.46092143603572,26.4222997696186,0.005632876567666978,0.03862166641711795,True,False,True,True,True
closest_1pct,5553,4047,1.4833174198270551,1.490532109454632,26.46092143603572,26.55605577949433,0.007214689627576876,0.09513434345861072,True,False,False,False,False
closest_1pct,5553,11869,1.4833174198270551,1.4907841471946293,26.46092143603572,26.530308004265297,0.007466727367574144,0.06938656822957867,False,False,False,False,False
closest_1pct,5553,28796,1.4833174198270551,1.491618271420858,26.46092143603572,26.54267911555757,0.008300851593802783,0.08175767952184998,False,False,False,False,False
closest_1pct,15421,9416,1.4861769398082918,1.4863839455144836,26.483470765683094,26.42679073041928,0.00020700570619180958,0.056680035263813267,True,False,False,False,False
closest_1pct,15421,19475,1.4861769398082918,1.4872190253190882,26.483470765683094,26.41064514675304,0.001042085510796431,0.07282561893005379,True,False,False,False,True
closest_1pct,15421,4081,1.4861769398082918,1.487809050800145,26.483470765683094,26.472105577865,0.0016321109918531196,0.011365187818093148,True,False,False,True,False
closest_1pct,15421,9624,1.4861769398082918,1.4885237851846718,26.483470765683094,26.49445736035351,0.002346845376379969,0.01098659467041685,True,False,True,False,False
closest_1pct,15421,4476,1.4861769398082918,1.4888969254379152,26.483470765683094,26.513518173391592,0.0027199856296233893,0.030047407708497786,True,False,True,False,False
closest_1pct,15421,21791,1.4861769398082918,1.488950296394722,26.483470765683094,26.4222997696186,0.002773356586430298,0.06117099606449372,True,False,False,False,True
closest_1pct,15421,4047,1.4861769398082918,1.490532109454632,26.483470765683094,26.55605577949433,0.004355169646340196,0.07258501381123494,True,False,True,False,False
closest_1pct,15421,11869,1.4861769398082918,1.4907841471946293,26.483470765683094,26.530308004265297,0.004607207386337464,0.0468372385822029,False,False,False,False,False
closest_1pct,15421,28796,1.4861769398082918,1.491618271420858,26.483470765683094,26.54267911555757,0.005441331612566103,0.05920834987447421,True,False,True,False,False
closest_1pct,15421,20670,1.4861769398082918,1.4924927188676405,26.483470765683094,26.51802386931429,0.0063157790593486585,0.03455310363119679,True,False,True,False,False
closest_1pct,9416,19475,1.4863839455144836,1.4872190253190882,26.42679073041928,26.41064514675304,0.0008350798046046215,0.016145583666240526,False,False,True,True,True
closest_1pct,9416,4081,1.4863839455144836,1.487809050800145,26.42679073041928,26.472105577865,0.00142510528566131,0.04531484744572012,False,False,False,False,False
closest_1pct,9416,9624,1.4863839455144836,1.4885237851846718,26.42679073041928,26.49445736035351,0.0021398396701881595,0.06766662993423012,True,False,False,False,False
closest_1pct,9416,4476,1.4863839455144836,1.4888969254379152,26.42679073041928,26.513518173391592,0.0025129799234315797,0.08672744297231105,False,False,False,False,False
closest_1pct,9416,21791,1.4863839455144836,1.488950296394722,26.42679073041928,26.4222997696186,0.0025663508802384882,0.004490960800680455,True,False,False,True,True
closest_1pct,9416,4047,1.4863839455144836,1.490532109454632,26.42679073041928,26.55605577949433,0.004148163940148386,0.1292650490750482,True,False,False,False,False
