parameter,value,mu,BF,Delta_BF
L4_mm,157.5,0.3,1.5412973,-0.004271388
L4_mm,157.6,0.3,1.5328141,-0.0127545595
L4_mm,157.7,0.3,1.5309395,-0.014629245
L4_mm,157.8,0.3,1.5313777,-0.014191031
L4_mm,157.9,0.3,1.5315286,-0.0140401125
L4_mm,158.0,0.3,1.5305225,-0.015046239
L4_mm,158.1,0.3,1.5305319,-0.015036821
L4_mm,158.2,0.3,1.5307729,-0.01479578
L4_mm,158.3,0.3,1.5305991,-0.014969587
L4_mm,158.4,0.3,1.5301393,-0.015429378
L4_mm,158.5,0.3,1.5289829,-0.016585827
L4_mm,158.6,0.3,1.5289829,-0.016585827
L4_mm,158.7,0.3,1.5289538,-0.016614914
L4_mm,158.8,0.3,1.5276043,-0.017964363
L4_mm,158.9,0.3,1.5276043,-0.017964363
L4_mm,159.0,0.3,1.5276043,-0.017964363
L4_mm,159.1,0.3,1.5276043,-0.017964363
L4_mm,159.2,0.3,1.5276043,-0.017964363
L4_mm,159.3,0.3,1.5276043,-0.017964363
L4_mm,159.4,0.3,1.5254976,-0.020071149
L4_mm,159.5,0.3,1.5218171,-0.023751616
L4_mm,159.6,0.3,1.5207528,-0.024815917
L4_mm,159.7,0.3,1.5218248,-0.023743868
L4_mm,159.8,0.3,1.5143844,-0.031184316
L4_mm,159.9,0.3,1.5138049,-0.031763792
L4_mm,160.0,0.3,1.5131444,-0.03242433
L4_mm,160.1,0.3,1.5118774,-0.033691287
L4_mm,160.2,0.3,1.511915,-0.033653736
L4_mm,160.3,0.3,1.5113622,-0.03420651
L4_mm,160.4,0.3,1.5109807,-0.03458798
L4_mm,160.5,0.3,1.5109807,-0.03458798
L4_mm,160.6,0.3,1.510591,-0.034977674
L4_mm,160.7,0.3,1.510591,-0.034977674
L4_mm,160.8,0.3,1.5106894,-0.034879327
L4_mm,160.9,0.3,1.5107875,-0.034781218
L4_mm,161.0,0.3,1.5086288,-0.03693986
L4_mm,161.1,0.3,1.5087296,-0.036839128
L4_mm,161.2,0.3,1.5087296,-0.036839128
L4_mm,161.3,0.3,1.508433,-0.03713572
L4_mm,161.4,0.3,1.508197,-0.037371755
L4_mm,161.5,0.3,1.5072643,-0.038304448
L4_mm,161.6,0.3,1.5068307,-0.038738012
L4_mm,161.7,0.3,1.5042065,-0.041362166
L4_mm,161.8,0.3,1.5065314,-0.039037347
L4_mm,161.9,0.3,1.4938594,-0.051709294
L4_mm,162.0,0.3,1.5000926,-0.04547608
theta1_deg,18.0,0.3,1.5644801,0.018911362
theta1_deg,18.2,0.3,1.5638967,0.018327951
theta1_deg,18.4,0.3,1.5621449,0.01657617
theta1_deg,18.6,0.3,1.5580257,0.012457013
theta1_deg,18.8,0.3,1.5575902,0.012021542
theta1_deg,19.0,0.3,1.5657588,0.02019012
theta1_deg,19.2,0.3,1.5656266,0.020057917
theta1_deg,19.4,0.3,1.5656929,0.020124197
theta1_deg,19.6,0.3,1.5656929,0.020124197
theta1_deg,19.8,0.3,1.565002,0.01943326
theta1_deg,20.0,0.3,1.5630507,0.017482042
theta1_deg,20.2,0.3,1.5657783,0.02020955
theta1_deg,20.4,0.3,1.5612559,0.015687227
theta1_deg,20.6,0.3,1.561993,0.016424298
theta1_deg,20.8,0.3,1.5621897,0.016620994
theta1_deg,21.0,0.3,1.5599238,0.014355063
