parameter,value,mu,BF
theta1_deg,35.2,0.3,1.5323597
theta1_deg,35.400000000000006,0.3,1.5321274
theta1_deg,35.6,0.3,1.5324296
theta1_deg,35.8,0.3,1.5303202
theta1_deg,36.0,0.3,1.5303202
theta1_deg,36.2,0.3,1.5303202
theta1_deg,36.400000000000006,0.3,1.5315007
theta1_deg,36.6,0.3,1.5315007
theta1_deg,36.8,0.3,1.5275489
theta1_deg,37.0,0.3,1.5278213
theta1_deg,37.2,0.3,1.5281006
theta1_deg,37.400000000000006,0.3,1.530567
theta1_deg,37.6,0.3,1.5287851
theta1_deg,37.8,0.3,1.529111
theta1_deg,38.0,0.3,1.526125
theta2_deg,135.0,0.3,1.4975548
theta2_deg,135.2,0.3,1.4974413
theta2_deg,135.4,0.3,1.4985833
theta2_deg,135.6,0.3,1.4985833
theta2_deg,135.8,0.3,1.4989378
theta2_deg,136.0,0.3,1.4986953
theta2_deg,136.2,0.3,1.4998659
theta2_deg,136.4,0.3,1.5007783
theta2_deg,136.6,0.3,1.5011004
theta2_deg,136.8,0.3,1.5020199
theta2_deg,137.0,0.3,1.5033084
theta2_deg,137.2,0.3,1.5033048
theta2_deg,137.4,0.3,1.5024178
theta2_deg,137.6,0.3,1.5074238
theta2_deg,137.8,0.3,1.5067499
theta2_deg,138.0,0.3,1.5071127
theta2_deg,138.2,0.3,1.5082465
theta2_deg,138.4,0.3,1.5081412
theta2_deg,138.6,0.3,1.5085922
theta2_deg,138.8,0.3,1.5088389
theta2_deg,139.0,0.3,1.5089034
theta2_deg,139.2,0.3,1.5107098
theta2_deg,139.4,0.3,1.5115774
theta2_deg,139.6,0.3,1.511532
theta2_deg,139.8,0.3,1.5119019
theta2_deg,140.0,0.3,1.5124203
theta2_deg,140.2,0.3,1.5134231
theta2_deg,140.4,0.3,1.5224028
theta2_deg,140.6,0.3,1.5224028
theta2_deg,140.8,0.3,1.5240117
theta2_deg,141.0,0.3,1.5281851
theta2_deg,141.2,0.3,1.5304054
theta2_deg,141.4,0.3,1.5303181
theta2_deg,141.6,0.3,1.5303181
theta2_deg,141.8,0.3,1.5303181
theta2_deg,142.0,0.3,1.5297539
theta2_deg,142.2,0.3,1.5317067
theta2_deg,142.4,0.3,1.5318795
theta2_deg,142.6,0.3,1.5332483
theta2_deg,142.8,0.3,1.5334747
theta2_deg,143.0,0.3,1.5372223
theta2_deg,143.2,0.3,1.5379379
theta2_deg,143.4,0.3,1.5381411
theta2_deg,143.6,0.3,1.5398259
theta2_deg,143.8,0.3,1.5398839
theta2_deg,144.0,0.3,1.5402939
theta2_deg,144.2,0.3,1.5403534
theta2_deg,144.4,0.3,1.5403534
theta2_deg,144.6,0.3,1.5393544
theta2_deg,144.8,0.3,1.5441091
theta2_deg,145.0,0.3,1.5455687
theta2_deg,145.2,0.3,1.5514888
theta2_deg,145.4,0.3,1.5536991
theta2_deg,145.6,0.3,1.5567899
theta2_deg,145.8,0.3,1.556304
theta2_deg,146.0,0.3,1.5582602
theta2_deg,146.2,0.3,1.5595233
theta2_deg,146.4,0.3,1.5604174
theta2_deg,146.6,0.3,1.560543
theta2_deg,146.8,0.3,1.5610347
theta2_deg,147.0,0.3,1.5612658
theta2_deg,147.2,0.3,1.5650754
theta2_deg,147.4,0.3,1.5649631
theta2_deg,147.6,0.3,1.5671169
theta2_deg,147.8,0.3,1.5670211
theta2_deg,148.0,0.3,1.567056
theta2_deg,148.2,0.3,1.5645473
theta2_deg,148.4,0.3,1.5823696
theta2_deg,148.6,0.3,1.5676475
theta2_deg,148.8,0.3,1.5683358
theta2_deg,149.0,0.3,1.5704311
theta2_deg,149.2,0.3,1.5753746
theta2_deg,149.4,0.3,1.5816497
theta2_deg,149.6,0.3,1.5824298
theta2_deg,149.8,0.3,1.58361
theta2_deg,150.0,0.3,1.583666
theta2_deg,150.2,0.3,1.5838764
theta2_deg,150.4,0.3,1.5835665
theta2_deg,150.6,0.3,1.5840299
theta2_deg,150.8,0.3,1.5864588
theta2_deg,151.0,0.3,1.5864588
theta2_deg,151.2,0.3,1.5885006
theta2_deg,151.4,0.3,1.5898424
theta2_deg,151.6,0.3,1.588905
theta2_deg,151.8,0.3,1.5911367
theta2_deg,152.0,0.3,1.5908921
theta2_deg,152.2,0.3,1.5940518
theta2_deg,152.4,0.3,1.5954938
theta2_deg,152.6,0.3,1.5953467
theta2_deg,152.8,0.3,1.5975688
theta2_deg,153.0,0.3,1.5986886
theta2_deg,153.2,0.3,1.5985199
theta2_deg,153.4,0.3,1.5991446
theta2_deg,153.6,0.3,1.6023388
theta2_deg,153.8,0.3,1.6024083
theta2_deg,154.0,0.3,1.6078837
theta2_deg,154.2,0.3,1.6082704
theta2_deg,154.4,0.3,1.6071694
theta2_deg,154.6,0.3,1.6061743
theta2_deg,154.8,0.3,1.6073472
theta2_deg,155.0,0.3,1.6067158
