L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,CL_physical,CT_physical,CL_CT_physical,BF_error_percent,Delta_BF_error_percent,BF_change_percent,Delta_BF_change_pp,Delta_BF_change_percent
35.1804507839428,142.87191602743553,152.6823690931555,19.784661182114288,138.48325529926487,0.3,1.6085100170037165,28.05918915685891,1.5889733177691627,27.870580817471573,1.1182577393266182,0.47071557844254464,2.3756548339160446,1.2295171363847908,0.6767291310595906,1.9372136926380539,-0.25076846737846736,-0.8917369676623772
36.94638707851968,143.14704293010658,153.28769635986117,19.05903772461218,139.79256505088512,0.3,1.6100429940886527,28.087070884433647,1.590161134548685,27.896157966429314,1.1195330612995211,0.47062807324916384,2.37880637585087,1.2503047086237897,0.6843699345052485,2.0134155592948577,-0.22519131842072682,-0.8007841876280286
35.42010041304367,141.8401693158492,152.99438271004212,19.23030202247312,140.1563248826309,0.3,1.6123689679399331,28.223666247646424,1.5926887552900313,28.025325498682758,1.1235189100235528,0.4691698452664784,2.3946954847138953,1.2356596720190964,0.7077196979317458,2.1755697079915133,-0.09602378616728302,-0.34146222926442016
38.62748536549711,143.0684275607203,152.55020545053088,18.904759903543674,140.63409987298317,0.3,1.6164136548826744,28.23601918799766,1.5964009160806343,28.039078962453836,1.126371447501138,0.4700294685794964,2.3963847435038725,1.253616093579671,0.7023776558692929,2.413715511663279,-0.08227032239620513,-0.2925546763879038
36.629942787861566,143.12826335576815,152.036672257905,18.149762179978943,139.7045384544791,0.3,1.6242529601626416,28.242343732397106,1.604296575748114,28.04859953908798,1.1321049156223995,0.47219166012571456,2.3975538138919945,1.2439336165273298,0.6907446235920891,2.920244814432321,-0.07274974576206006,-0.2586993427134483
38.4371007699707,143.0017095935924,153.63352479732507,18.131148630958403,143.38196076442773,0.3,1.6317171431233861,28.47420289685194,1.6083594555224097,28.23893856463837,1.138199583645084,0.4701598718773257,2.420877773129187,1.452267869646693,0.833120308948767,3.1808902507832157,0.11758927978833,0.41814949416982444
38.902630841859356,142.78566582517013,152.45758899760963,18.474470238166866,142.86245059195437,0.3,1.6335121123934946,28.543486357553565,1.61128675705414,28.31523262454043,1.141551426377006,0.46973533067713413,2.430201332165996,1.379354434712068,0.806116396922372,3.368685073040978,0.19388333969039095,0.6894524787074948
38.49141878215099,142.95850845625708,153.20287347181963,18.35550138170229,144.03811786869926,0.3,1.6397758162212002,28.62484242443954,1.6156934263627643,28.376209733152468,1.1456930523725475,0.4700003739902168,2.437642852591422,1.4905296676641182,0.8762012038436147,3.6513855979413417,0.25486044830242705,0.906288121956258
35.4314098309524,142.74988462254262,155.05587742745467,19.169486154049917,145.547674029327,0.3,1.6441985584489007,28.708461699698457,1.6169188432728188,28.42236915355984,1.1473306902430453,0.46958815302977336,2.4432700928260025,1.68714189271645,1.006575294947875,3.729999621239212,0.3010198687097976,1.0704318120040122
37.94956810664253,142.55479019582145,153.56473227893298,18.03467969730675,144.9620065938525,0.3,1.6446783889948757,28.72042687771081,1.6196736784912327,28.458452850349396,1.1498851531853045,0.4697885253059282,2.447665473388254,1.5438116230261631,0.9205490851488733,3.9067302328908418,0.33710356549935483,1.1987460561892895
39.67364698366689,142.86687730573146,152.4153052807439,18.91480812687244,144.77857795002353,0.3,1.6455327984890884,28.79171787408139,1.6215274455511237,28.53766204293255,1.152512338362568,0.4690151071885558,2.4573032311712493,1.4804160733650586,0.8902475289203219,4.0256547275990275,0.41631275808250834,1.4804153025004054
