Parameter,Parameter_Value,Delta_BF_percent
L1_mm,42.9,28.03046423109445
L1_mm,43.0,28.027253862016146
L1_mm,43.1,28.024038550664297
L1_mm,43.2,28.020818311708123
L1_mm,43.3,28.01759315982081
L1_mm,43.4,28.014363109679465
L1_mm,43.5,28.0111281759648
L1_mm,43.6,28.00788837336115
L1_mm,43.7,28.004643716556338
L1_mm,43.8,28.001394220241373
L1_mm,43.9,27.99813989911043
L1_mm,44.0,27.994880767860746
L1_mm,44.1,27.991616841192386
L1_mm,44.2,27.988348133808135
L1_mm,44.3,27.98507466041339
L1_mm,44.4,27.981796435715967
L1_mm,44.5,27.97851347442608
L1_mm,44.6,27.975225791255987
L1_mm,44.7,27.97193340092002
L1_mm,44.8,27.968636318134493
L1_mm,44.9,27.96533455761739
L1_mm,45.0,27.96202813408834
L3_mm,138.15,28.121349284850027
L3_mm,138.20000000000002,28.121349284850016
L3_mm,138.25,28.121349284850012
L3_mm,138.3,28.121349284850005
L3_mm,138.35,28.121349284850027
L3_mm,138.4,28.121349284850023
L3_mm,138.45000000000002,28.121349284850005
L3_mm,138.5,28.121349284850027
L3_mm,138.55,28.121349284850023
L3_mm,138.6,28.121349284850027
L3_mm,138.65,28.121349284850016
L3_mm,138.70000000000002,28.12134928485005
L3_mm,138.75,28.121349284850023
L3_mm,138.8,28.121349284850012
L3_mm,138.85,28.121349284850023
L3_mm,138.9,28.12134928485
L3_mm,138.95000000000002,28.12134928485
L3_mm,139.0,28.121349284850012
L3_mm,139.05,28.121349284850023
L3_mm,139.1,28.121349284850027
L3_mm,139.15,28.121349284850012
L3_mm,139.20000000000002,28.121349284850034
L3_mm,139.25,28.12134928485004
L3_mm,139.3,28.121349284850034
L3_mm,139.35,28.121349284850027
L3_mm,139.4,28.12134928485005
L3_mm,139.45000000000002,28.121349284850016
L3_mm,139.5,28.121349284850016
L3_mm,139.55,28.121349284850012
L3_mm,139.6,28.121349284850012
L3_mm,139.65,28.121349284850016
L3_mm,139.70000000000002,28.121349284850023
L3_mm,139.75,28.121349284850027
L3_mm,139.8,28.121349284850012
L3_mm,139.85,28.121349284850016
L3_mm,139.9,28.121349284850044
L3_mm,139.95000000000002,28.121349284850027
L3_mm,140.0,28.121349284850023
L3_mm,140.05,28.121349284850034
L3_mm,140.1,28.121349284850023
L3_mm,140.15,28.121349284850034
L3_mm,140.20000000000002,28.121349284850012
L3_mm,140.25,28.121349284850034
L3_mm,140.3,28.121349284850027
L3_mm,140.35,28.121349284850012
L3_mm,140.4,28.121349284850016
L3_mm,140.45000000000002,28.121349284850016
L3_mm,140.5,28.121349284850005
L3_mm,140.55,28.121349284850012
L3_mm,140.6,28.121349284850034
L3_mm,140.65,28.121349284850027
L3_mm,140.70000000000002,28.121349284850016
L3_mm,140.75,28.121349284850016
L3_mm,140.8,28.121349284850034
L3_mm,140.85,28.121349284850027
L3_mm,140.9,28.121349284850027
L3_mm,140.95000000000002,28.121349284850027
L3_mm,141.0,28.12134928485004
L3_mm,141.05,28.121349284850012
L3_mm,141.1,28.121349284850016
L3_mm,141.15,28.121349284850027
L3_mm,141.20000000000002,28.121349284849995
L3_mm,141.25,28.121349284850016
L3_mm,141.3,28.121349284850012
L3_mm,141.35,28.121349284850005
L3_mm,141.4,28.12134928485004
L3_mm,141.45000000000002,28.12134928485004
L3_mm,141.5,28.121349284850027
L3_mm,141.55,28.121349284850012
L3_mm,141.6,28.121349284850044
L3_mm,141.65,28.12134928485
L3_mm,141.70000000000002,28.12134928485
L3_mm,141.75,28.121349284850027
L3_mm,141.8,28.12134928485
L3_mm,141.85,28.121349284850012
L3_mm,141.9,28.12134928485
L3_mm,141.95000000000002,28.121349284850023
L3_mm,142.0,28.121349284850023
L3_mm,142.05,28.12134928485004
L3_mm,142.1,28.121349284850034
L3_mm,142.15,28.121349284850055
L3_mm,142.20000000000002,28.12134928485005
L3_mm,142.25,28.121349284850016
L3_mm,142.3,28.121349284850012
L3_mm,142.35,28.121349284850027
L3_mm,142.4,28.121349284850012
L3_mm,142.45000000000002,28.121349284850016
L3_mm,142.5,28.121349284850027
L3_mm,142.55,28.121349284850023
L3_mm,142.6,28.12134928485
L3_mm,142.65,28.12134928485005
L3_mm,142.70000000000002,28.12134928485004
L3_mm,142.75,28.121349284850012
L3_mm,142.8,28.121349284850034
L3_mm,142.85,28.121349284850023
L3_mm,142.9,28.121349284850005
L3_mm,142.95000000000002,28.121349284850023
L3_mm,143.0,28.121349284850034
L3_mm,143.05,28.121349284850023
L3_mm,143.1,28.121349284850027
L3_mm,143.15,28.12134928485004
L4_mm,152.0,28.75741432511372
L4_mm,152.1,28.74395100215674
L4_mm,152.2,28.730519550921162
L4_mm,152.3,28.717119867440218
L4_mm,152.4,28.703751848183824
L4_mm,152.5,28.690415390056366
L4_mm,152.6,28.67711039039433
L4_mm,152.7,28.663836746964165
L4_mm,152.8,28.65059435796014
L4_mm,152.9,28.637383122001996
L4_mm,153.0,28.624202938132754
L4_mm,153.1,28.61105370581677
L4_mm,153.2,28.59793532493723
L4_mm,153.3,28.58484769579433
L4_mm,153.4,28.571790719102868
L4_mm,153.5,28.558764295990436
L4_mm,153.6,28.545768327994836
L4_mm,153.7,28.532802717062506
L4_mm,153.8,28.519867365546148
L4_mm,153.9,28.506962176202645
L4_mm,154.0,28.494087052191112
L4_mm,154.1,28.48124189707084
L4_mm,154.2,28.468426614799153
L4_mm,154.3,28.45564110972947
L4_mm,154.4,28.44288528660939
L4_mm,154.5,28.430159050578446
L4_mm,154.6,28.417462307166364
L4_mm,154.7,28.404794962291025
L4_mm,154.8,28.392156922256312
L4_mm,154.9,28.379548093750547
L4_mm,155.0,28.366968383844128
L4_mm,155.1,28.354417699987895
L4_mm,155.2,28.34189595001112
L4_mm,155.3,28.329403042119573
L4_mm,155.4,28.316938884893766
L4_mm,155.5,28.304503387286868
L4_mm,155.6,28.292096458622947
L4_mm,155.7,28.27971800859519
L4_mm,155.8,28.267367947263843
L4_mm,155.9,28.25504618505465
L4_mm,156.0,28.24275263275677
L4_mm,156.1,28.23048720152115
L4_mm,156.2,28.218249802858637
L4_mm,156.3,28.20604034863812
L4_mm,156.4,28.19385875108492
L4_mm,156.5,28.181704922778906
L4_mm,156.6,28.169578776652738
L4_mm,156.7,28.157480225990078
L4_mm,156.8,28.145409184424032
L4_mm,156.9,28.13336556593517
L4_mm,157.0,28.121349284850027
L4_mm,157.1,28.10936025583919
L4_mm,157.2,28.09739839391576
L4_mm,157.3,28.08546361443365
L4_mm,157.4,28.073555833085738
L4_mm,157.5,28.0616749659025
L4_mm,157.6,28.049820929250007
L4_mm,157.7,28.037993639828564
L4_mm,157.8,28.026193014670792
L4_mm,157.9,28.01441897114031
L4_mm,158.0,28.002671426929847
L4_mm,158.1,27.99095030005982
L4_mm,158.2,27.979255508876555
L4_mm,158.3,27.967586972050917
L4_mm,158.4,27.95594460857646
L4_mm,158.5,27.94432833776804
L4_mm,158.6,27.932738079260215
L4_mm,158.7,27.92117375300568
L4_mm,158.8,27.909635279273658
L4_mm,158.9,27.898122578648465
L4_mm,159.0,27.886635572027927
L4_mm,159.1,27.875174180621855
L4_mm,159.2,27.863738325950504
L4_mm,159.3,27.852327929843156
L4_mm,159.4,27.840942914436578
L4_mm,159.5,27.82958320217347
L4_mm,159.6,27.81824871580112
L4_mm,159.7,27.806939378369798
L4_mm,159.8,27.795655113231483
L4_mm,159.9,27.784395844038183
L4_mm,160.0,27.773161494740567
L4_mm,160.1,27.761951989586713
L4_mm,160.2,27.75076725312037
L4_mm,160.3,27.73960721017979
L4_mm,160.4,27.728471785896257
