Parameter,Parameter_Value,BF
L4_mm,154.8,1.5636752764358008
L4_mm,154.9,1.5628455584599368
L4_mm,155.0,1.5620174817415937
L4_mm,155.1,1.5611910413591688
L4_mm,155.2,1.560366232410771
L4_mm,155.3,1.5595430500141272
L4_mm,155.4,1.5587214893064811
L4_mm,155.5,1.5579015454444993
L4_mm,155.6,1.5570832136041708
L4_mm,155.7,1.5562664889807136
L4_mm,155.8,1.5554513667884753
L4_mm,155.9,1.5546378422608447
L4_mm,156.0,1.5538259106501489
L4_mm,156.1,1.553015567227566
L4_mm,156.2,1.5522068072830277
L4_mm,156.3,1.5513996261251286
L4_mm,156.4,1.5505940190810326
L4_mm,156.5,1.5497899814963818
L4_mm,156.6,1.5489875087352054
L4_mm,156.7,1.5481865961798282
L4_mm,156.8,1.547387239230781
L4_mm,156.9,1.546589433306712
L4_mm,157.0,1.5457931738442943
L4_mm,157.1,1.5449984562981418
L4_mm,157.2,1.5442052761407181
L4_mm,157.3,1.5434136288622495
L4_mm,157.4,1.5426235099706398
L4_mm,157.5,1.5418349149913797
L4_mm,157.6,1.5410478394674665
L4_mm,157.7,1.5402622789593128
L4_mm,157.8,1.539478229044665
L4_mm,157.9,1.5386956853185207
L4_mm,158.0,1.5379146433930382
L4_mm,158.1,1.537135098897458
L4_mm,158.2,1.5363570474780193
L4_mm,158.3,1.535580484797877
L4_mm,158.4,1.5348054065370174
L4_mm,158.5,1.53403180839218
L4_mm,158.6,1.533259686076775
L4_mm,158.7,1.5324890353208025
L4_mm,158.8,1.531719851870771
L4_mm,158.9,1.5309521314896217
L4_mm,159.0,1.5301858699566449
L4_mm,159.1,1.5294210630674026
L4_mm,159.2,1.5286577066336517
L4_mm,159.3,1.5278957964832638
L4_mm,159.4,1.5271353284601494
L4_mm,159.5,1.526376298424181
L4_mm,159.6,1.5256187022511145
L4_mm,159.7,1.5248625358325159
L4_mm,159.8,1.5241077950756825
L4_mm,159.9,1.523354475903571
L4_mm,160.0,1.5226025742547211
L4_mm,160.1,1.5218520860831806
L4_mm,160.2,1.5211030073584304
L4_mm,160.3,1.5203553340653146
L4_mm,160.4,1.5196090622039649
L4_mm,160.5,1.5188641877897282
L4_mm,160.6,1.5181207068530935
L4_mm,160.7,1.517378615439621
L4_mm,160.8,1.5166379096098723
L4_mm,160.9,1.5158985854393354
L4_mm,161.0,1.5151606390183578
L4_mm,161.1,1.5144240664520747
L4_mm,161.2,1.5136888638603376
L4_mm,161.3,1.5129550273776475
L4_mm,161.4,1.512222553153084
L4_mm,161.5,1.5114914373502386
L4_mm,161.6,1.510761676147144
L4_mm,161.7,1.510033265736207
L4_mm,161.8,1.5093062023241428
L4_mm,161.9,1.5085804821319049
L4_mm,162.0,1.5078561013946203
theta1_deg,18.0,1.5732940562739754
